"SOG" "COG" "Heading" "ROT" "BaseDateTime" "Status" "VoyageID" "MMSI" "ReceiverType" "ReceiverID" "coords.x1" "coords.x2" "monthday" "keep"
11.8000001907349 249 250 0 2012-12-09 04:10:02 0 67 352230800 "r" "17MADA1" -176.137667 50.952667 "12-9" 1
20.1000003814697 256.799987792969 262 0 2012-12-09 04:10:02 0 64 477080707 "r" "17MADA1" -177.972537 51.271622 "12-9" 1
11.3999996185303 252 255 0 2012-12-09 05:15:31 0 67 352230800 "r" "17MADA1" -176.454333 50.882167 "12-9" 1
11.1000003814697 251 256 0 2012-12-09 05:28:15 0 72 355907020 "r" "17MADA1" -175.251167 51.221217 "12-9" 1
10.6999998092651 259.100006103516 256 0 2012-12-09 06:15:24 0 73 309392000 "r" "17MADA1" -175.561298 51.42858 "12-9" 1
10.3999996185303 275.600006103516 275 129 2012-12-09 06:56:52 0 3 367035710 "r" "17MADA1" -174.610475 51.988463 "12-9" 1
11.6999998092651 261.100006103516 265 0 2012-12-09 08:08:26 0 69 477040396 "r" "17MADA1" -177.643093 51.213517 "12-9" 1
13.1000003814697 248 253 0 2012-12-09 08:28:53 0 68 356190900 "r" "17MADA1" -177.677667 51.184833 "12-9" 1
9.89999961853027 72 69 0 2012-12-09 08:36:33 0 55 356050800 "r" "17MADA1" -176.2895 50.861833 "12-9" 1
12 261 264 0 2012-12-09 08:50:53 0 66 477313600 "r" "17MADA1" -177.72465 51.289283 "12-9" 1
11.8999996185303 274 271 0 2012-12-09 09:16:09 0 74 311005850 "r" "17MADA1" -175.243777 51.29687 "12-9" 1
10.5 276 281 127 2012-12-09 10:07:28 0 70 538402030 "r" "17MADA1" -177.018608 50.958147 "12-9" 1
10.8999996185303 250 255 0 2012-12-09 10:18:43 0 72 355907020 "r" "17MADA1" -176.6505 50.946417 "12-9" 1
12.8999996185303 262.200012207031 259 0 2012-12-09 11:59:21 0 74 311005850 "r" "17MADA1" -176.126352 51.23912 "12-9" 1
11.3999996185303 246.600006103516 244 129 2012-12-09 11:59:48 0 3 367035710 "r" "17MADA1" -176.036655 51.77765 "12-9" 1
0.800000011920929 19 511 128 2012-12-09 11:59:55 15 46 303940600 "r" "17MADP1" -176.646133 51.853895 "12-9" 1
