MMSI,IMO,CallSign,Name,VesselType,Length,Width,DimensionComponents
338046000,8978473,WDA8289,NRC CAPE FLATTERY,54,0,0,"0,0,0,0"
308798000,8313697,C6KB6,OSPREY ARROW,70,187,29,"156,31,13,16"
366976880,0,WYQ7421,BENJAMIN FOSS,52,23,8,"7,16,6,2"
316011408,9332767,CFN4970,COASTAL INSPIRATION,69,160,28,"26,134,14,14"
367309120,7626231,WDD9262,NAKOA,31,39,10,"15,24,3,7"
367067110,9250660,WRTF,POLAR ENTERPRISE,80,273,46,"230,43,38,8"
369894000,9319818,NEAR,USNS AMELIA EARHART,0,210,32,"137,73,26,6"
316005726,0,,C.H. CATES VI,52,17,7,"7,10,2,5"
367777000,7309729,WX8727,VIKING.QUEEN,0,34,8,"31,3,7,1"
308458000,7516632,C6IN4,SAGA MERCHANT,70,201,30,"167,34,15,15"
538002954,9302554,V7NF8,MSC DEBRA,71,284,32,"221,63,10,22"
477690900,9367176,VRCR5,OOCL KUALA LUMPUR,73,280,40,"210,70,14,26"
366963980,0,WZC3886,SANFRANCISCO,6,30,70,"10,20,30,40"
316192000,0,CGAZ,HMCS WHITEHORSE,0,49,12,"18,31,7,5"
316001239,0,CZ2009,MV MILL BAY,69,0,0,"0,0,0,0"
316001267,0,CFL8497,SKEENA QUEEN,69,110,24,"55,55,12,12"
209772000,9252412,P3MG9,EFROSSINI,70,225,33,"199,26,12,21"
367843000,8833867,WTEJ,MCARTHUR II,38,68,13,"30,38,3,10"
367310529,0,,MEGAN-RENEE,33,56,15,"9,47,8,7"
366508420,7436806,WC8177,TRIG LIND,31,22,7,"0,22,0,7"
316012260,431601226,CFG7403,VIKING ENTERPRISE,30,42,8,"15,27,7,1"
308927000,9051612,C6FG9,SIRIUS VOYAGER,81,275,50,"227,48,29,21"
338613000,9181376,WCZ5238,GREEN DALE,70,179,32,"54,125,19,13"
303890000,9193575,NBVJ,BRITTIN,0,0,0,"0,0,0,0"
367878000,0,NRU0,USCGC POLAR SEA,0,122,20,"20,102,15,5"
366979330,0,WCW5595,KEEGAN FOSS,52,34,11,"12,22,8,3"
367367370,0,WDE5482,SHANAKEE_3,90,22,6,"17,5,3,3"
338604000,525516,WCY6757,SEAMAC,0,30,10,"25,5,5,5"
316005718,0,,SEASPAN SCOUT,52,17,7,"5,12,2,5"
316005498,0,VCZQ,SEASPAN COMMANDER,31,23,7,"6,17,4,3"
538003165,8604383,V7OV2,SPIRIT OF RIO,70,230,36,"196,34,14,22"
303301000,0,WDB7198,ALASKAN LEADER,0,45,10,"28,17,5,5"
316003669,7406679,,SEASPAN GUARDIAN,52,20,7,"6,14,1,6"
338031144,0,WSA2789,CLEAN3,0,0,0,"0,0,0,0"
369580000,977369,WXAE,SOUND RELIANCE,31,189,13,"155,34,9,4"
0,0,WLB297,IRONWOOD,0,55,12,"30,25,9,3"
233633000,9103037,MTFH5,MAERSK DELMONT,70,292,31,"221,71,14,17"
316005495,320352,CY7471,EVCO BREEZE,31,0,0,"0,0,0,0"
366604000,7218462,WPGJ,HORIZON FAIRBANKS,70,0,0,"0,0,0,0"
338060059,0,,WILLAMETTE,31,28,11,"13,15,4,7"
366978690,600741,WBP2187,EAGLE,31,31,10,"8,23,3,7"
367010000,0,WDC7562,TUG POLAR KING,52,42,11,"11,31,6,5"
308483000,9035060,C6OB,CYGNUS VOYAGER,81,275,50,"233,42,29,21"
367013050,0,WSX5383,GOODTIME_THREE,60,27,8,"14,13,6,2"
